datetime,hour,day,month,weekday,is_weekend,CO_GT,PT08_S1_CO,C6H6_GT,PT08_S2_NMHC,NOx_GT,PT08_S3_NOx,NO2_GT,PT08_S4_NO2,PT08_S5_O3,Temperature,RelativeHumidity,AbsoluteHumidity,pollution_index
2004-03-10 18:00:00,18,10,3,Wednesday,False,2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,0.21710088573043274
2004-03-10 19:00:00,19,10,3,Wednesday,False,2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,0.16522366453778925
2004-03-10 20:00:00,20,10,3,Wednesday,False,2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,0.19888874984125146
2004-03-10 21:00:00,21,10,3,Wednesday,False,2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,0.21603128648798053
2004-03-10 22:00:00,22,10,3,Wednesday,False,1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,0.18391198388664975
2004-03-10 23:00:00,23,10,3,Wednesday,False,1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,0.14341000999490713
2004-03-11 00:00:00,0,11,3,Thursday,False,1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0.11857890477736371
2004-03-11 01:00:00,1,11,3,Thursday,False,1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,0.11194299396935382
2004-03-11 02:00:00,2,11,3,Thursday,False,0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,0.08950243677778173
2004-03-11 03:00:00,3,11,3,Thursday,False,0.6,1010.0,1.7,561.0,33.0,1705.0,47.0,1235.0,501.0,10.3,60.2,0.7517,0.06549915540443046
2004-03-11 04:00:00,4,11,3,Thursday,False,0.6499999999999999,1011.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,0.05138287968079672
2004-03-11 05:00:00,5,11,3,Thursday,False,0.7,1066.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,0.04574973584532585
2004-03-11 06:00:00,6,11,3,Thursday,False,0.7,1052.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,0.06953589014551588
2004-03-11 07:00:00,7,11,3,Thursday,False,1.1,1144.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,0.12880958933468556
2004-03-11 08:00:00,8,11,3,Thursday,False,2.0,1333.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,0.2009710014152756
2004-03-11 09:00:00,9,11,3,Thursday,False,2.2,1351.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,0.18561687164046328
2004-03-11 10:00:00,10,11,3,Thursday,False,1.7,1233.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,0.1646973922411554
2004-03-11 11:00:00,11,11,3,Thursday,False,1.5,1179.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,0.14929390923137717
2004-03-11 12:00:00,12,11,3,Thursday,False,1.6,1236.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,0.15710849208133512
2004-03-11 13:00:00,13,11,3,Thursday,False,1.9,1286.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,0.19182702733435877
2004-03-11 14:00:00,14,11,3,Thursday,False,2.9,1371.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,0.24962135170554753
2004-03-11 15:00:00,15,11,3,Thursday,False,2.2,1310.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,0.22268425194517497
2004-03-11 16:00:00,16,11,3,Thursday,False,2.2,1292.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,0.22964636262584195
2004-03-11 17:00:00,17,11,3,Thursday,False,2.9,1383.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,0.26464928160770274
2004-03-11 18:00:00,18,11,3,Thursday,False,4.8,1581.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,0.34267663291928446
2004-03-11 19:00:00,19,11,3,Thursday,False,6.9,1776.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,0.4457283603832292
2004-03-11 20:00:00,20,11,3,Thursday,False,6.1,1640.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,0.4090042911851275
2004-03-11 21:00:00,21,11,3,Thursday,False,3.9,1313.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,0.2932070144017968
